index,fp_pronouns,headline,class,URL
421,1.0,Pro-Line Unveils Gas Powered Pro-2 Short Course Truck!,1,rcnewz.com
912,1.0,Corruption Watch: John Boehner's Abramoff Connection,0,www.theatlantic.com
913,1.0,Process That Converts Cotton to Boron Carbide Could Create Armored T-Shirts,0,www.popsci.com
345,1.0,Esperanto For Computational Fluid Dynamics,1,www.symscape.com
883,1.0,Cleveland Motion Controls acquires Kaliburn,0,www.automation.com
671,1.0,Uniguest Expands Portfolio of Guest-Facing Technology Solutions,0,www.businesswire.com
470,1.0,Hens lay rugby eggs as Germany aims for 7 Nations glory after footballing defeat to England,1,www.uk.diplo.de
612,1.0,Virgin America Tops Ranking of U.S. Airlines,0,time.com
521,1.0,Manchester City's parent company buys Uruguayan side Atletico Torque,0,www.bbc.co.uk
461,1.0,Leap years to be scrapped after Surrey scientists discover Earth’s orbit has slowed,1,www.surrey.ac.uk
699,1.0,GE Celebrates Grand Opening of First Additive Manufacturing Center in Pittsburgh,0,www.businesswire.com
656,0.9285714285714286,JPMorgan is targeting Silicon Valley,0,www.businessinsider.com
414,0.8571428571428571,RNIB launches guide cats for the blind scheme,1,newsthump.com
284,0.8571428571428571,New Disney Movie Announced!,1,www.animationsource.org
111,0.8333333333333334,Mortal Kombat 'Touch' Coming to iPhone,1,www.trmk.org
37,0.8,Python 2.5 Licensing Change,1,pyfound.blogspot.co.uk
977,0.75,"Regal Beloit Acquires Ramu, Inc., a Technology Company Backed by Khosla Ventures",0,www.prnewswire.com
333,0.75,Telstra announces long-awaited return of the Gold Phone,1,techgeek.com.au
732,0.7368421052631579,"Trump: If We Don’t Take Iraq’s Oil, U.S. Soldiers ‘Would Have Died In Vain’ – ThinkProgress",0,thinkprogress.org
281,0.7272727272727273,Confession: I Was “Intimate” With Presidential Pooch Bo,1,www.dollarthedog.com
245,0.7142857142857143,Library Clones Librarian,1,www.swissarmylibrarian.net
141,0.7142857142857143,MicroFundr First Pan-European VC Fund Will Use Twitter For Funding Process,1,arcticstartup.com
432,0.7142857142857143,Too cool for school? Not at Rochester,1,www.rochester.edu
416,0.7,Luther changes mascot to Fighting Gnome,1,www.luther.edu
903,0.7,Pier pressure is forcing festival to double up,0,www.smh.com.au
163,0.6923076923076923,Grand Theft Auto: Harbour City Leaked,1,uk.ign.com
177,0.6923076923076923,"Phillies announce ""New York Mets Day"" at Citizens Bank Park",1,www.thegoodphight.com
93,0.6875,Comcast acquires BitTorrent for $53bn,1,www.theregister.co.uk
433,0.6666666666666666,Intel Announces Knights Landing GPU,1,www.pcauthority.com.au
541,0.6666666666666666,Census Estimates for 2011 Show Population Growth in New York,0,www.nytimes.com
55,0.6666666666666666,blacklily8 Involved in Avatar Steroids Controversy with WoW,1,kairosnews.org
442,0.6666666666666666,Uncharted Delayed Again – Coming To Xbox One,1,mammothgamers.com
1021,0.6666666666666666,Obama calls for reduction in nuclear weapons,0,www.cnn.com
943,0.6666666666666666,Kristalbelli aims to attract trendsetting crowd,0,www.nydailynews.com
49,0.6666666666666666,Christopher Walken,1,community.livejournal.com
270,0.6666666666666666,Neston residents to bite back over Mosquito Sanctuary,1,www.aboutmyarea.co.uk
771,0.6666666666666666,Bob the Builder to get CG makeover for new show,0,www.licensing.biz
134,0.6666666666666666,Auckland area pushes to become a republic,1,www.scoop.co.nz
491,0.6521739130434783,The Last Of Us Part 2 Xbox One Edition Is A Reality,1,mammothgamers.com
287,0.65,A Burglar Alarm Company SimpliSafe Is Helping Burglars Find New Jobs,1,simplisafe.com
26,0.65,Ebichu Minds the House to be renamed Sally Cleans House,1,www.animenewsnetwork.com
423,0.6470588235294118,New Elder Scrolls Game Announced!,1,uesp.net
658,0.6428571428571429,"General Election 2015: Rainbow coalition, here we come, as the parties cosy up",0,www.independent.co.uk
145,0.625,Kingdom Hearts III for Wii,1,wiinintendo.net
185,0.6190476190476191,Earth population 'exceeds limits',1,news.bbc.co.uk
938,0.6153846153846154,An interview with Maverick Naomi Siddall,0,www.express.co.uk
321,0.6153846153846154,Council Declare Wrexham as ‘Capital City of Wales’,1,www.wrexham.com
313,0.6037735849056604,Why I Breastfeed My Sixteen-Year-Old,1,www.kveller.com
387,0.6,Disney World to cancel Wishes for new Nighttime show,1,www.chipandco.com
778,0.6,Sandi Toksvig presents export award to Waterloo firm,0,www.london-se1.co.uk
685,0.6,How exploring Mars could help us fight climate change on Earth,0,theconversation.com
392,0.6,"Witcher 3 dev says PS4, Xbox One and PC allow it to “go nuts” with visuals",1,www.gamespot.com
139,0.6,Apple and McDonald's Team Up Unveil iMc,1,www.tomshardware.com
1003,0.6,"Madonna to Reunite Mercy, David With Their Families in Malawi",0,www.usmagazine.com
